2026-01-17 15:28:50 [LogHelper] Upload all log and delete
2026-01-17 15:31:23 [MusicDownloader] 🎧 Đang tải file 8/618: 40%
2026-01-17 15:31:23 [MusicDownloader] 🎧 Đang tải file 8/618: 45%
2026-01-17 15:31:23 [MusicDownloader] 🎧 Đang tải file 8/618: 50%
2026-01-17 15:31:23 [MusicDownloader] 🎧 Đang tải file 8/618: 55%
2026-01-17 15:31:23 [MusicDownloader] 🎧 Đang tải file 8/618: 60%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 65%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 70%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 75%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 80%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 85%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 90%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 95%
2026-01-17 15:31:24 [MusicDownloader] 🎧 Đang tải file 8/618: 100%
2026-01-17 15:31:24 [MusicDownloader] ⬇️ Đã tải xong: mot_loi_on.mp3
2026-01-17 15:31:25 [MusicDownloader] 🎧 Đang tải file 9/618: 0%
2026-01-17 15:31:25 [MusicDownloader] 🎧 Đang tải file 9/618: 5%
2026-01-17 15:31:25 [MusicDownloader] 🎧 Đang tải file 9/618: 10%
2026-01-17 15:31:25 [MusicDownloader] 🎧 Đang tải file 9/618: 15%
2026-01-17 15:31:25 [MusicDownloader] 🎧 Đang tải file 9/618: 20%
2026-01-17 15:31:25 [MusicDownloader] 🎧 Đang tải file 9/618: 25%
2026-01-17 15:31:26 [MusicDownloader] 🎧 Đang tải file 9/618: 30%
2026-01-17 15:31:26 [MusicDownloader] 🎧 Đang tải file 9/618: 35%
2026-01-17 15:31:26 [MusicDownloader] 🎧 Đang tải file 9/618: 40%
2026-01-17 15:31:26 [MusicDownloader] 🎧 Đang tải file 9/618: 45%
2026-01-17 15:31:26 [MusicDownloader] 🎧 Đang tải file 9/618: 50%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 55%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 60%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 65%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 70%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 75%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 80%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 85%
2026-01-17 15:31:27 [MusicDownloader] 🎧 Đang tải file 9/618: 90%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 9/618: 95%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 9/618: 100%
2026-01-17 15:31:28 [MusicDownloader] ⬇️ Đã tải xong: Om_Em_That_Lau.mp3
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 0%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 5%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 10%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 15%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 20%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 25%
2026-01-17 15:31:28 [MusicDownloader] 🎧 Đang tải file 10/618: 30%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 35%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 40%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 45%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 50%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 55%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 60%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 65%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 70%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 75%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 80%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 85%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 90%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 95%
2026-01-17 15:31:29 [MusicDownloader] 🎧 Đang tải file 10/618: 100%
2026-01-17 15:31:29 [MusicDownloader] ⬇️ Đã tải xong: 1000_Anh_Mat.mp3
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 0%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 5%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 10%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 15%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 20%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 25%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 30%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 35%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 40%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 45%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 50%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 55%
2026-01-17 15:31:30 [MusicDownloader] 🎧 Đang tải file 11/618: 60%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 65%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 70%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 75%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 80%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 85%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 90%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 95%
2026-01-17 15:31:31 [MusicDownloader] 🎧 Đang tải file 11/618: 100%
2026-01-17 15:31:31 [MusicDownloader] ⬇️ Đã tải xong: Buoc_Za_i_Xa.mp3
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 0%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 5%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 10%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 15%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 20%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 25%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 30%
2026-01-17 15:31:32 [MusicDownloader] 🎧 Đang tải file 12/618: 35%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 40%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 45%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 50%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 55%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 60%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 65%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 70%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 75%
2026-01-17 15:31:33 [MusicDownloader] 🎧 Đang tải file 12/618: 80%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 12/618: 85%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 12/618: 90%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 12/618: 95%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 12/618: 100%
2026-01-17 15:31:34 [MusicDownloader] ⬇️ Đã tải xong: Chi_can_ben_anh_Will_you_marry_me.mp3
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 13/618: 0%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 13/618: 5%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 13/618: 10%
2026-01-17 15:31:34 [MusicDownloader] 🎧 Đang tải file 13/618: 15%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 20%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 25%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 30%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 35%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 40%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 45%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 50%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 55%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 60%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 65%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 70%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 75%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 80%
2026-01-17 15:31:35 [MusicDownloader] 🎧 Đang tải file 13/618: 85%
2026-01-17 15:31:36 [MusicDownloader] 🎧 Đang tải file 13/618: 90%
2026-01-17 15:31:36 [MusicDownloader] 🎧 Đang tải file 13/618: 95%
2026-01-17 15:31:36 [MusicDownloader] 🎧 Đang tải file 13/618: 100%
2026-01-17 15:31:36 [MusicDownloader] ⬇️ Đã tải xong: Mat_Ket_Noi.mp3
2026-01-17 15:31:36 [MusicDownloader] 🎧 Đang tải file 14/618: 0%
