2025-10-27 22:34:38 [LogHelper] Upload all log and delete
2025-10-28 10:49:01 [MusicDownloader] 🎧 Đang tải file 9/466: 95%
2025-10-28 10:49:01 [MusicDownloader] 🎧 Đang tải file 9/466: 100%
2025-10-28 10:49:01 [MusicDownloader] ⬇️ Đã tải xong: _Every_Heart--.mp3
2025-10-28 10:49:02 [MusicDownloader] 🎧 Đang tải file 10/466: 0%
2025-10-28 10:49:02 [MusicDownloader] 🎧 Đang tải file 10/466: 5%
2025-10-28 10:49:03 [MusicDownloader] 🎧 Đang tải file 10/466: 10%
2025-10-28 10:49:03 [MusicDownloader] 🎧 Đang tải file 10/466: 15%
2025-10-28 10:49:04 [MusicDownloader] 🎧 Đang tải file 10/466: 20%
2025-10-28 10:49:04 [MusicDownloader] 🎧 Đang tải file 10/466: 25%
2025-10-28 10:49:05 [MusicDownloader] 🎧 Đang tải file 10/466: 30%
2025-10-28 10:49:05 [MusicDownloader] 🎧 Đang tải file 10/466: 35%
2025-10-28 10:49:06 [MusicDownloader] 🎧 Đang tải file 10/466: 40%
2025-10-28 10:49:06 [MusicDownloader] 🎧 Đang tải file 10/466: 45%
2025-10-28 10:49:07 [MusicDownloader] 🎧 Đang tải file 10/466: 50%
2025-10-28 10:49:08 [MusicDownloader] 🎧 Đang tải file 10/466: 55%
2025-10-28 10:49:09 [MusicDownloader] 🎧 Đang tải file 10/466: 60%
2025-10-28 10:49:09 [MusicDownloader] 🎧 Đang tải file 10/466: 65%
2025-10-28 10:49:10 [MusicDownloader] 🎧 Đang tải file 10/466: 70%
2025-10-28 10:49:10 [MusicDownloader] 🎧 Đang tải file 10/466: 75%
2025-10-28 10:49:11 [MusicDownloader] 🎧 Đang tải file 10/466: 80%
2025-10-28 10:49:12 [MusicDownloader] 🎧 Đang tải file 10/466: 85%
2025-10-28 10:49:12 [MusicDownloader] 🎧 Đang tải file 10/466: 90%
2025-10-28 10:49:13 [MusicDownloader] 🎧 Đang tải file 10/466: 95%
2025-10-28 10:49:13 [MusicDownloader] 🎧 Đang tải file 10/466: 100%
2025-10-28 10:49:13 [MusicDownloader] ⬇️ Đã tải xong: _Xe_ap.mp3
2025-10-28 10:49:14 [MusicDownloader] 🎧 Đang tải file 11/466: 0%
2025-10-28 10:49:15 [MusicDownloader] 🎧 Đang tải file 11/466: 5%
2025-10-28 10:49:15 [MusicDownloader] 🎧 Đang tải file 11/466: 10%
2025-10-28 10:49:16 [MusicDownloader] 🎧 Đang tải file 11/466: 15%
2025-10-28 10:49:16 [MusicDownloader] 🎧 Đang tải file 11/466: 20%
2025-10-28 10:49:16 [MusicDownloader] 🎧 Đang tải file 11/466: 25%
2025-10-28 10:49:17 [MusicDownloader] 🎧 Đang tải file 11/466: 30%
2025-10-28 10:49:17 [MusicDownloader] 🎧 Đang tải file 11/466: 35%
2025-10-28 10:49:17 [MusicDownloader] 🎧 Đang tải file 11/466: 40%
2025-10-28 10:49:18 [MusicDownloader] 🎧 Đang tải file 11/466: 45%
2025-10-28 10:49:18 [MusicDownloader] 🎧 Đang tải file 11/466: 50%
2025-10-28 10:49:19 [MusicDownloader] 🎧 Đang tải file 11/466: 55%
2025-10-28 10:49:20 [MusicDownloader] 🎧 Đang tải file 11/466: 60%
2025-10-28 10:49:20 [MusicDownloader] 🎧 Đang tải file 11/466: 65%
2025-10-28 10:49:21 [MusicDownloader] 🎧 Đang tải file 11/466: 70%
2025-10-28 10:49:21 [MusicDownloader] 🎧 Đang tải file 11/466: 75%
2025-10-28 10:49:22 [MusicDownloader] 🎧 Đang tải file 11/466: 80%
2025-10-28 10:49:22 [MusicDownloader] 🎧 Đang tải file 11/466: 85%
2025-10-28 10:49:22 [MusicDownloader] 🎧 Đang tải file 11/466: 90%
2025-10-28 10:49:23 [MusicDownloader] 🎧 Đang tải file 11/466: 95%
2025-10-28 10:49:23 [MusicDownloader] 🎧 Đang tải file 11/466: 100%
2025-10-28 10:49:23 [MusicDownloader] ⬇️ Đã tải xong: _Hoang_Mang.mp3
2025-10-28 10:49:24 [MusicDownloader] 🎧 Đang tải file 12/466: 0%
2025-10-28 10:49:25 [MusicDownloader] 🎧 Đang tải file 12/466: 5%
2025-10-28 10:49:26 [MusicDownloader] 🎧 Đang tải file 12/466: 10%
2025-10-28 10:49:26 [MusicDownloader] 🎧 Đang tải file 12/466: 15%
2025-10-28 10:49:27 [MusicDownloader] 🎧 Đang tải file 12/466: 20%
2025-10-28 10:49:27 [MusicDownloader] 🎧 Đang tải file 12/466: 25%
2025-10-28 10:49:28 [MusicDownloader] 🎧 Đang tải file 12/466: 30%
2025-10-28 10:49:28 [MusicDownloader] 🎧 Đang tải file 12/466: 35%
2025-10-28 10:49:29 [MusicDownloader] 🎧 Đang tải file 12/466: 40%
2025-10-28 10:49:29 [MusicDownloader] 🎧 Đang tải file 12/466: 45%
2025-10-28 10:49:29 [MusicDownloader] 🎧 Đang tải file 12/466: 50%
2025-10-28 10:49:30 [MusicDownloader] 🎧 Đang tải file 12/466: 55%
2025-10-28 10:49:30 [MusicDownloader] 🎧 Đang tải file 12/466: 60%
2025-10-28 10:49:31 [MusicDownloader] 🎧 Đang tải file 12/466: 65%
2025-10-28 10:49:31 [MusicDownloader] 🎧 Đang tải file 12/466: 70%
2025-10-28 10:49:32 [MusicDownloader] 🎧 Đang tải file 12/466: 75%
2025-10-28 10:49:32 [MusicDownloader] 🎧 Đang tải file 12/466: 80%
2025-10-28 10:49:33 [MusicDownloader] 🎧 Đang tải file 12/466: 85%
2025-10-28 10:49:33 [MusicDownloader] 🎧 Đang tải file 12/466: 90%
2025-10-28 10:49:34 [MusicDownloader] 🎧 Đang tải file 12/466: 95%
2025-10-28 10:49:34 [MusicDownloader] 🎧 Đang tải file 12/466: 100%
2025-10-28 10:49:34 [MusicDownloader] ⬇️ Đã tải xong: _Xin_Anh_ung.mp3
2025-10-28 10:49:35 [MusicDownloader] 🎧 Đang tải file 13/466: 0%
2025-10-28 10:49:35 [MusicDownloader] 🎧 Đang tải file 13/466: 5%
2025-10-28 10:49:35 [MusicDownloader] 🎧 Đang tải file 13/466: 10%
2025-10-28 10:49:36 [MusicDownloader] 🎧 Đang tải file 13/466: 15%
2025-10-28 10:49:37 [MusicDownloader] 🎧 Đang tải file 13/466: 20%
2025-10-28 10:49:38 [MusicDownloader] 🎧 Đang tải file 13/466: 25%
2025-10-28 10:49:38 [MusicDownloader] 🎧 Đang tải file 13/466: 30%
2025-10-28 10:53:05 [LogHelper] Upload all log and delete
2025-10-28 10:53:33 [LogHelper] Upload all log and delete
